song_id;song_name;popularity;is_collaboration;artist_names;artist_count;all_genres_list;avg_artist_betweenness;genre_heterogeneity_index;danceability;energy;valence
3RHhNmN9eFeutAzyJ6SqnY;Ginga (Participação especial de Rincon Sapiência);60;True;"IZA; Rincon Sapiência";2;['afrofuturismo brasileiro, baile pop, pop nacional, r&b brasileiro', 'afrofuturismo brasileiro, baile pop, brazilian hip hop, trap brasileiro'];2.4147590070510965e-05;3.0;0.716;0.972;0.602
48UPSzbZjgc449aqz8bxox;Californication;81;False;Red Hot Chili Peppers;1;['alternative rock, funk metal, funk rock, permanent wave, post-grunge, rock'];0.0;6.0;0.592;0.767;0.328
6RUKPb4LETWmmr3iAEQktW;Something Just Like This;84;True;"Coldplay; The Chainsmokers";2;['permanent wave, pop', 'electropop, pop, tropical house'];4.829518014102193e-05;2.0;0.617;0.635;0.446
0A7yxYg9J8l6s7RLXEFhze;Aí Desgramou - Ao Vivo;45;True;"Talis e Welinton; Felipe Araújo";2;['sertanejo pop', 'sertanejo pop, sertanejo universitario'];0.004427058179593676;1.0;0.323;0.912;0.704
3bp5fh0qPmCqC5PWEewFkm;Oh Meu Deus;0;False;Projota;1;['brazilian hip hop, pop nacional'];0.0;2.0;0.726;0.804;0.45
5zSiXA70xM4kuSt6qim6jl;K.O.;59;False;Pabllo Vittar;1;['baile pop, funk carioca, pop nacional'];0.05312469815512412;3.0;0.689;0.713;0.922
2TihKW8ShdEEhKN3PSDEIq;Mais Amor e Menos Drama - Ao Vivo;63;False;Henrique & Juliano;1;['sertanejo universitario'];0.0006278373418332851;1.0;0.595;0.887;0.653
7krl54SfiKf4fMlM7lGlWc;Acabou Acabou (Quando Eu Digo Que Acabou) - Ao Vivo;0;True;"Wesley Safadão; Gabriel Diniz";2;['forro', 'forro, funk carioca, sertanejo pop'];0.04113334989168081;1.5;0.657;0.934;0.745
61GiOLLEn0LcavpVu1my6Q;Fuego;47;True;"Alok; Bhaskar";2;['brazilian edm, electro house, pop nacional', 'brazilian edm, brazilian house'];0.019692359702501692;2.0;0.72;0.643;0.325
0XLOf9LhyazPX9Ld8jPiUq;Fetish (feat. Gucci Mane);8;True;"Selena Gomez; Gucci Mane";2;['dance pop, pop, post-teen pop', 'atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap'];0.0001448855404230658;5.0;0.708;0.61;0.305
75E2xyRjYAsmjfDeAwdW0D;Popotão Grandão;54;False;Mc Neguinho do ITR;1;['funk carioca, funk ostentacao'];0.0;2.0;0.974;0.365;0.862
2AUvXXgYuNFJMCPdhxONfa;Qual Bumbum Mais Bate;46;True;"MC WM; Os Cretinos";2;['baile pop, brazilian edm, funk carioca, funk ostentacao', 'funk carioca'];0.0076789336424224865;2.0;0.636;0.47;0.643
5LVWGCl4mjGFXDIvQbOGvr;Nessas Horas - Ao Vivo;1;False;Matheus & Kauan;1;['pop nacional, sertanejo universitario'];0.0407333048161793;2.0;0.462;0.519;0.575
5TY4l2xPjXDcRhG1cmZDK7;Found U;18;True;"Dimmi; Zeeba";2;['deep tropical house, tropical house', 'brazilian edm'];0.0025837921375446733;1.5;0.77;0.644;0.522
4Ck1C6ViZRVTWSVpWQnywS;Maldade;0;False;Maiara & Maraisa;1;['sertanejo pop, sertanejo universitario'];0.03204224218422998;2.0;0.797;0.693;0.714
3IfJVGTOfqoecb0bCm0CO8;Você Vai Entender (feat. Pablo Martins, Morgado, NaBrisa & Baviera);1;True;"Morgado; Pablo Martins; 1Kilo; Baviera; NaBrisa";5;['', '', 'brazilian edm, brazilian hip hop, trap brasileiro', '', 'brazilian hip hop'];8.886313145948035e-05;0.6;0.596;0.745;0.297
4Z6YruMINNspGet1gQyYlK;Supplies;45;False;Justin Timberlake;1;['dance pop, pop'];0.0;2.0;0.793;0.554;0.225
7KShGTrCjujjGb6rqGjd5r;Status Que Eu Não Queria - Acústico;53;False;Zé Neto & Cristiano;1;['sertanejo universitario'];0.0;1.0;0.698;0.633;0.766
5mR5GuercvLXgx4TPnGl9k;Mordida, Beijo e Tapa;43;False;Naiara Azevedo;1;['funk carioca, sertanejo pop, sertanejo universitario'];0.014024920312952759;3.0;0.891;0.887;0.732
12bMDI4NKm0arLS3PKv6Fo;Loka;0;True;"Simone & Simaria; Anitta";2;['funk carioca, pop nacional, sertanejo pop, sertanejo universitario', 'baile pop, funk carioca, funk das antigas, pagode baiano'];0.11685582278888572;3.5;0.631;0.839;0.688
0OuShHz7Oi531jev235a5d;A Gente Continua - Acústico;53;False;Zé Neto & Cristiano;1;['sertanejo universitario'];0.0;1.0;0.538;0.681;0.774
7IL3UOlcJ6nmcCMwpnlfcA;Something's Gotta Give;69;False;Camila Cabello;1;['dance pop, pop, post-teen pop'];0.0;3.0;0.545;0.458;0.164
3a1lNhkSLSkpJE4MSHpDu9;Congratulations;84;True;"Quavo; Post Malone";2;['atl hip hop, hip hop, melodic rap, pop rap, rap, trap', 'dfw rap, melodic rap, rap'];7.24427702115329e-05;3.5;0.63;0.804;0.492
2XW4DbS6NddZxRPm5rMCeY;God's Plan;15;False;Drake;1;['canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap'];0.0;6.0;0.758;0.448;0.373
58tUwXG7xKE7gzNOp6Msca;Joga O Bum Bum Tam Tam;0;False;MC Fioti;1;['funk carioca'];0.0;1.0;0.94;0.492;0.447
5Htb1uFQ1KrkFXlefS8oGj;Tell Me You Love Me;3;False;Demi Lovato;1;['dance pop, pop, post-teen pop'];0.0;3.0;0.516;0.592;0.271
2OALaHcDdKkjYEpAr0Qzab;Lonely Together (feat. Rita Ora);56;True;"Avicii; Rita Ora";2;['big room, dance pop, edm, pop, tropical house', 'dance pop, edm, pop, pop rap, post-teen pop, tropical house, uk pop'];9.659036028204386e-05;4.0;0.655;0.666;0.272
6zZw7RPIs3IxDghP4UvWcY;Esqueci Como Namora (feat. Maiara & Maraisa);48;True;"Nego do Borel; Maiara & Maraisa";2;['baile pop, funk carioca, funk das antigas', 'sertanejo pop, sertanejo universitario'];0.02653958134978127;2.5;0.9;0.783;0.815
09IStsImFySgyp0pIQdqAc;The Middle;83;True;"Zedd; Grey; Maren Morris";3;['complextro, dance pop, edm, electro house, german techno, pop, post-teen pop, tropical house', 'pop edm', 'contemporary country, pop, texas country'];0.0;3.6666666666666665;0.753;0.657;0.437
0XLve6cs3OmA1E704IU8HL;Status Que Eu Não Queria - Acústico;0;False;Zé Neto & Cristiano;1;['sertanejo universitario'];0.0;1.0;0.698;0.633;0.766
4muZ1PUxmss4cVmYnpLrvs;Refém;69;False;Dilsinho;1;['pagode'];0.0;1.0;0.653;0.542;0.837
4YV827A7aWVswtyt0eWoWM;Sorte Que Cê Beija Bem - Ao Vivo;60;False;Maiara & Maraisa;1;['sertanejo pop, sertanejo universitario'];0.03204224218422998;2.0;0.539;0.882;0.492
